ziel;jahr;serie;wert;szenario
M1;2035;f2;7.0;H
M1;2036;f2;11.0;H
M1;2037;f2;11.0;H
M1;2038;f2;11.0;H
M1;2039;f2;11.0;H
M1;2040;f2;11.0;H
M1;2024;f3;0.1;H
M1;2025;f3;0.3333333333333333;H
M1;2026;f3;0.5666666666666667;H
M1;2027;f3;0.7999999999999999;H
M1;2028;f3;1.0333333333333332;H
M1;2029;f3;1.2666666666666666;H
M1;2030;f3;1.5;H
M1;2031;f3;0.5;H
M1;2032;f3;0.625;H
M1;2033;f3;0.75;H
M1;2034;f3;0.875;H
M1;2035;f3;1.0;H
M1;2036;f3;1.0;H
M1;2037;f3;1.0;H
M1;2038;f3;1.0;H
M1;2039;f3;1.0;H
M1;2040;f3;1.0;H
M1;2024;TS_TOTAL;60964.0;H
M1;2025;TS_TOTAL;60050;H
M1;2026;TS_TOTAL;59149;H
M1;2027;TS_TOTAL;58262;H
M1;2028;TS_TOTAL;57388;H
M1;2029;TS_TOTAL;56527;H
M1;2030;TS_TOTAL;55679;H
M1;2031;TS_TOTAL;54844;H
M1;2032;TS_TOTAL;54021;H
M1;2033;TS_TOTAL;53211;H
M1;2034;TS_TOTAL;52413;H
M1;2035;TS_TOTAL;51627;H
M1;2036;TS_TOTAL;50853;H
M1;2037;TS_TOTAL;50090;H
M1;2038;TS_TOTAL;49339;H
M1;2039;TS_TOTAL;48599;H
M1;2040;TS_TOTAL;47870;H
M1;2024;TS_ELECTRIC;2006;H
M1;2025;TS_ELECTRIC;2913;H
M1;2026;TS_ELECTRIC;4121;H
M1;2027;TS_ELECTRIC;6136;H
M1;2028;TS_ELECTRIC;9111;H
M1;2029;TS_ELECTRIC;12762;H
M1;2030;TS_ELECTRIC;17274;H
M1;2031;TS_ELECTRIC;21442;H
M1;2032;TS_ELECTRIC;21614;H
M1;2033;TS_ELECTRIC;26372;H
M1;2034;TS_ELECTRIC;31265;H
M1;2035;TS_ELECTRIC;36683;H
M1;2036;TS_ELECTRIC;43172;H
M1;2037;TS_ELECTRIC;43172;H
M1;2038;TS_ELECTRIC;43172;H
M1;2039;TS_ELECTRIC;43172;H
M1;2040;TS_ELECTRIC;39521;H
M1;2024;PCT_ELECTRIC;3.2904665048225183;H
M1;2025;PCT_ELECTRIC;4.850957535387177;H
M1;2026;PCT_ELECTRIC;6.967150754873286;H
M1;2027;PCT_ELECTRIC;10.531735951391989;H
M1;2028;PCT_ELECTRIC;15.876141353593086;H
M1;2029;PCT_ELECTRIC;22.576821695826773;H
M1;2030;PCT_ELECTRIC;31.02426408520268;H
M1;2031;PCT_ELECTRIC;39.096345999562395;H
M1;2032;PCT_ELECTRIC;40.01036633901631;H
M1;2033;PCT_ELECTRIC;49.5611809588243;H
M1;2034;PCT_ELECTRIC;59.65123156468815;H
M1;2035;PCT_ELECTRIC;71.05390590195053;H
M1;2036;PCT_ELECTRIC;84.89567970424557;H
M1;2037;PCT_ELECTRIC;86.18886005190657;H
M1;2038;PCT_ELECTRIC;87.50076004783234;H
M1;2039;PCT_ELECTRIC;88.83310356180168;H
M1;2040;PCT_ELECTRIC;82.55901399623981;H
