ziel;jahr;serie;wert;szenario
M1;2028;TS_TOTAL;57388;H
M1;2029;TS_TOTAL;56527;H
M1;2030;TS_TOTAL;55679;H
M1;2031;TS_TOTAL;54844;H
M1;2032;TS_TOTAL;54021;H
M1;2033;TS_TOTAL;53211;H
M1;2034;TS_TOTAL;52413;H
M1;2035;TS_TOTAL;51627;H
M1;2036;TS_TOTAL;50853;H
M1;2037;TS_TOTAL;50090;H
M1;2038;TS_TOTAL;49339;H
M1;2039;TS_TOTAL;48599;H
M1;2040;TS_TOTAL;47870;H
M1;2024;TS_ELECTRIC;2006;H
M1;2025;TS_ELECTRIC;2913;H
M1;2026;TS_ELECTRIC;3573;H
M1;2027;TS_ELECTRIC;4558;H
M1;2028;TS_ELECTRIC;5813;H
M1;2029;TS_ELECTRIC;7352;H
M1;2030;TS_ELECTRIC;9209;H
M1;2031;TS_ELECTRIC;11367;H
M1;2032;TS_ELECTRIC;12797;H
M1;2033;TS_ELECTRIC;18662;H
M1;2034;TS_ELECTRIC;24735;H
M1;2035;TS_ELECTRIC;33332;H
M1;2036;TS_ELECTRIC;39906;H
M1;2037;TS_ELECTRIC;39906;H
M1;2038;TS_ELECTRIC;39906;H
M1;2039;TS_ELECTRIC;39906;H
M1;2040;TS_ELECTRIC;38367;H
M1;2024;PCT_ELECTRIC;3.2904665048225183;H
M1;2025;PCT_ELECTRIC;4.850957535387177;H
M1;2026;PCT_ELECTRIC;6.040676934521294;H
M1;2027;PCT_ELECTRIC;7.823281040815626;H
M1;2028;PCT_ELECTRIC;10.129295323064055;H
M1;2029;PCT_ELECTRIC;13.006174040723902;H
M1;2030;PCT_ELECTRIC;16.539449343558612;H
M1;2031;PCT_ELECTRIC;20.726059368390345;H
M1;2032;PCT_ELECTRIC;23.688935784232058;H
M1;2033;PCT_ELECTRIC;35.0716957020165;H
M1;2034;PCT_ELECTRIC;47.192490412683874;H
M1;2035;PCT_ELECTRIC;64.56311619888818;H
M1;2036;PCT_ELECTRIC;78.47324641614064;H
M1;2037;PCT_ELECTRIC;79.66859652625274;H
M1;2038;PCT_ELECTRIC;80.88125012667464;H
M1;2039;PCT_ELECTRIC;82.112800674911;H
M1;2040;PCT_ELECTRIC;80.14831836223104;H
